挑戰標題,企業名稱,企業官網,社群網址,企業介紹,命題說明,挑戰連結
智慧醫療與管理,由田新技,https://www.utechzone.com.tw/,,由田新技股份有限公司為兩岸領先自動光學檢測(AOI)設備商。以近三十年累積之深厚機器視覺(Machine Vision)核心技術，整合光學取像系統、影像處理邏輯演算技術、機構設計、精密機械與運動控制等，提供完整解決方案，應用於各式工業品管檢測，取代傳統人工目檢，大幅提高品管效益。 「創意」「紀律」「意志」是由田公司創業20年來堅持的精神信念。由田鼓勵員工發想創意，不論針對個人、產品或組織層面的各項「創意」都可能在未來轉化為珍貴的資產。而將創意實現的歷程，則需透過嚴明的「紀律」把關，由田同仁秉持堅韌的「意志」迎戰途中面臨的各項挑戰，以實踐每一項創新，使企業提升獲利持續成長。,"命題說明:

智慧醫療是以新興資通訊技術(ICT)在醫療健康領域的智慧型應用，包括醫療照護、公衛監測、疾病判讀、疾病管理、醫務管理等。期待參賽團隊提出可提升醫療與照護品質的創新智慧醫療應用，及相關因應的創新管理方法。",https://sustainabilityhackathon-tw.org/%e6%99%ba%e6%85%a7%e9%86%ab%e7%99%82%e8%88%87%e7%ae%a1%e7%90%86-2/
智慧物聯網應用與管理,瀚錸科技,https://www.netbridgetech.com.tw/,https://www.facebook.com/Netbridgetech,瀚錸科技股份有限公司(Netbridge Technology Inc.) 為專業的加值型IT代理商，代理範圍從網路基礎設備，到資訊安全設備，及智慧物聯網應用，期待為系統整合商及客戶提供一站式採購服務。,"命題說明:

物聯網(Internet of Things，IoT)是新興的科技趨勢，帶來了一個資訊溝通的新概念，近來智慧物聯網(AIoT)的產品(如：智慧電表、智慧冰箱等) 也廣泛運用至企業及一般家庭，相信AIoT的智慧與便利能帶來永續創新應用機會。為達到應用效益所需的管理機制與方法也非常重要。例如許多針對AIoT設備及與其相關的行動應用程式、雲端服務的攻擊也隨之劇增，如何有效做好IoT資安管理與防護是當前所面臨的重要議題。期待參賽團隊能提出AIoT應用及提升整體效益的管理因應方法。",https://sustainabilityhackathon-tw.org/%e6%99%ba%e6%85%a7%e7%89%a9%e8%81%af%e7%b6%b2%e6%87%89%e7%94%a8%e8%88%87%e7%ae%a1%e7%90%86/
未來漢藥行,虎元漢藥,https://www.facebook.com/HUYUANCM,https://www.facebook.com/HUYUANCM,命題說明:,"命題說明:

我國中藥房因為法規及現實問題導致每年消失300間，目前經營者的平均年紀高達61歲，虎元漢藥作為臺灣第一間由中國醫藥大學中國藥學暨中藥資源學系學生創立之中藥貿易公司，同時為我國唯一具有中藥顯微鑑定技術之藥材貿易商，為了延續中藥產業的發展及推廣中藥文化，成立一間“未來漢藥行”為公司中遠期目標，這間“未來漢藥行”需要包含智能概念、綠建築、環境永續、教育意義、並且能成功吸引年輕人潮，帶動另一波漢藥風潮(相對於咖啡風潮)，希望參賽者能設計出一間符合以上概念的未來藥行，並說明營運模式及如何推廣漢藥文化。",https://sustainabilityhackathon-tw.org/%e6%9c%aa%e4%be%86%e6%bc%a2%e8%97%a5%e8%a1%8c/
獨居長者的智慧生活,老五老基金會,https://www.ofo.org.tw/,https://www.facebook.com/Old.Five.Old,老五老基金會成立25年以來，致力於老人專業服務與倡議，秉持「使能、尊重、團隊合作」之核心價值，鼓勵健康長輩持續社會參與；提供弱勢、獨居長輩維持生活所需；促進跨世代間的交流，從知老、敬老到愛老，期待創造「越老活越好」環境，讓所有人有機會選擇自己想要的生活！,"命題說明:

疫情時代限制了長輩外出、也使得人際互動與身體活動降低，少了實體的陪伴與關懷的支持，使得原本就獨居的長者變得更加孤獨。然，多數長輩對於使用3C產品並不熟悉，獨居的長輩更是因為沒有同住家人可以隨時協助操作或是解答問題使其在學習上難上加難。因此在這疫情時代下不僅數位教學，數位陪伴也面臨了許多挑戰。 在此期盼透過參賽者集思廣益，提出一個能以科技照顧結合長者陪伴與身體活動的創新服務，讓長輩疫情時代也能過得充實且健康。",https://sustainabilityhackathon-tw.org/%e7%8d%a8%e5%b1%85%e9%95%b7%e8%80%85%e7%9a%84%e6%99%ba%e6%85%a7%e7%94%9f%e6%b4%bb/
嘉和食尚永續新未來,嘉和健康生活,https://www.chcgroup.com.tw/index.php?route=system/system&id=91,https://www.facebook.com/people/%E4%BA%BA%E4%B9%8B%E5%88%9D%E6%9D%8F%E6%9C%AC%E8%86%B3/100063724825307/,LIFE PLUS+,"命題說明:

嘉和健康生活發展之初即以提供從出生到老年各階段養憩所需的服務，讓人們的生活更加美好，作為「Life Plus」的目標。在提供坐月子服務的同時，同樣重視媽媽們在於餐飲上的品質與客製化需求，因此設立餐飲事業部，並分為杏本膳月子餐品牌(中央廚房)及collective elements餐廳。

中央廚房每日現煮，以安全，健康，美味為出發點，滿足媽咪的營養並提供視、嗅、味覺的享受，融入各國料理手法，達到養身不養胖的健康生活！為了更貼近且符合現代女性需求，特聘請中醫師及營養師針對媽咪產後身體需求，提供階段目標性的營養補給與熱量控制，由中央主廚嚴選食材，以六大類食物營養為飲食原則，少油、少糖、少鹽的料理方式並結合中藥調理四部曲，提供多樣化的食材及口味！

collective elements隱身在中山區精華地段，老台北人的回憶指標嘉新大樓中，嚴選在地新鮮食材，經過星級主廚以擅長的義式料理融合中式美味以及手法創造美味新感受，另與健身中心推出由營養師精算後的高蛋白增肌餐，舒適場域也提供包場活動、私廚晚宴家族聚會，讓賓客在隱密的老台北回憶中享用美味又健康的星級餐點。 在現有的口碑及基礎下，嘉和健康生活餐飲事業部致力於提供健康飲食的概念與需求，但依然在營運上及未來定位策略上存有諸多挑戰，企盼透過此案例分析，經由同學們的角度，重新解構審視產品、營運或品牌的定位，創造營運高峰。",https://sustainabilityhackathon-tw.org/%e5%98%89%e5%92%8c%e9%a3%9f%e5%b0%9a%e6%b0%b8%e7%ba%8c%e6%96%b0%e6%9c%aa%e4%be%86/
偏鄉環境教育推廣,歐旻慈善基金會,https://www.omexeylove.com.tw,https://www.facebook.com/OmexeyLove,命題說明:,"命題說明:

「環境教育」乃透過觀念宣導與多元活動體驗，促使地球公民提升對於所處環境的關懷意識與行動力。

歐旻秉持友善生態與環境永續的堅持，盼能在雲林縣元長鄉扮演好環境倡導的推手，以期在當地藉由教育過程，使居民們獲得保護及改善環境所需之相關意識、重視及實際參與。 請各參賽隊伍針對雲林縣元長鄉環境教育及友善生態行動為發想，提供創意務實解方，企盼園區能成為在地的示範推廣平台，以利後續向社區宣導相關理念。",https://sustainabilityhackathon-tw.org/%e5%81%8f%e9%84%89%e7%92%b0%e5%a2%83%e6%95%99%e8%82%b2%e6%8e%a8%e5%bb%a3/
永續發展之商業創新模式,信義企業集團,https://www.sinyi.com.tw/,https://www.facebook.com/sinyifans/,命題說明:,"命題說明:

隨著社會與經濟的演進，人們更加追求生活品質的提升，物業管理的服務品質逐漸成為高品質住宅的關鍵指標。

然而，當前台灣民眾所居住的房屋，依舊以傳統的透天厝、公寓，與華廈為主體，物業管理服務尚未普及至公寓或是華廈形式的住宅。 為追求居民的健康與福祉，同時為物業管理產業提供合適的工作機會。本命題請參賽隊伍以無電梯公寓型式或是華廈型式為研究單位，了解居民之生活特性、物業管理服務潛在需求，並利用資訊科技為工具，設計出符合居民期待且具備財務可行性、使用便利性、服務可行性等面向之物業管理服務。以期作為台灣經濟發展的動力，達成永續城鄉的願景。",https://sustainabilityhackathon-tw.org/%e6%b0%b8%e7%ba%8c%e7%99%bc%e5%b1%95%e4%b9%8b%e5%95%86%e6%a5%ad%e5%89%b5%e6%96%b0%e6%a8%a1%e5%bc%8f/
健康與福祉的消費者需求,台灣主婦聯盟生活消費合作社,https://www.hucc-coop.tw/,https://www.facebook.com/hucccoop/,邁向第21年的台灣主婦聯盟生活消費合作社，從前身綠主張公司時期就以「共同購買改變世界」號召民眾參與，加以對合作社型態及理念（七大原則及組織與倫理價值）的認同，於2001年轉組合作社，開啟了以社員民主參與方式，繼續共同購買及綠色消費之路。 本社秉持與社員、農友及生產者的合作互助，化成每一股穩定變局的在地力量，讓台灣大社會在考驗中建立新秩序。我們一起保護台灣農業，捍衛糧食主權，支持友善環境的生產者及維繫地球資源的可持續性。,"命題說明:

隨著台灣人口結構、生活習慣、用餐習慣等的改變，於是社員對於生活消費合作社有著更為多樣性的需求。主婦聯盟秉持著用消費改善社會的精神，透過社員共同參與，共創美好的在地生活的宗旨，期望透過參賽團隊的視野，來重新觀察與了解現有社員的需求與消費模式，同時吸引新世代社員的加入。

本命題請參賽隊伍透過觀察或是訪談的技巧，藉由分析社員的群體輪廓與消費行為，發掘消費與服務的需求缺口，並提出具可行性與成本效益的服務設計。",https://sustainabilityhackathon-tw.org/%e5%81%a5%e5%ba%b7%e8%88%87%e7%a6%8f%e7%a5%89%e7%9a%84%e6%b6%88%e8%b2%bb%e8%80%85%e9%9c%80%e6%b1%82/
創新商業模式,樂器銀行,https://musicbank.moe.gov.tw/,https://www.facebook.com/musicbank0412,「樂器銀行」是教育部為了支持偏鄉孩子的音樂夢，成立全球第一個以媒合二手樂器為主的平臺。這是一個利用網路特性將各級學校的閒置樂器清點、集合起來，透過媒合、維修與交換，讓二手樂器不再擺在角落生灰塵，而是透過修理後再利用，送到其他更需要的孩子手上，成為一份最棒的禮物。這項行動也教會孩子們要愛物惜物、減少浪費，以及透過音樂，重新看待自己的生命，探索內心、表達自我。 樂器銀行也接受一般民眾及企業界的捐贈，鼓勵更多領域的音樂愛好者，把自己對音樂的情感延續到下一代的身上。募集到的樂器會優先開放給偏鄉學校登記使用，並在每個樂器內置物品條碼，讓捐贈的人可以隨時追蹤樂器的流向、目前誰在使用。而受贈的學校也可以進一步了解樂器的來源以及維修紀錄等，透過現代科技讓樂器履歷更完整。,"命題說明:

樂器銀行計畫成立於105年，經過七年的運轉及服務，足跡不只在本島的偏鄉學校，更到澎湖金門馬祖及蘭嶼，在各界的捐贈及努力下，服務將近350校，過去在廣告及公文的輔佐下一年曾創下收進破千件樂器，但在民眾捐贈及學校需求漸漸飽和下，媒合及捐贈的數字趨緩，近兩年更因疫情導致媒合的數量下降，因此內部開始期望推動轉型。在公部門的體制下運作，確實難以用商業角度或是方式來經營及推廣，而各個合作廠商時不時也傳出和本專案合作時，難以達到預期效果。而偏鄉的師資也是教學現場的一大難題。沒有專業師資且外聘教師因交通時間及資源難以平衡下極易流失，早成孩子學習容易中斷。在各種掣肘之下難以達成原先成立此專案的目標：解決偏鄉藝術學習問題、平衡城鄉資源差距。在未來希望能解決在政府部門的繁複作業下的模式，以類民營的方式自給自足，期待找到自身的商業模式之外，並解決偏鄉師資問題。",https://sustainabilityhackathon-tw.org/%e5%89%b5%e6%96%b0%e5%95%86%e6%a5%ad%e6%a8%a1%e5%bc%8f/
塑造永續品牌形象,台灣康寧顯示玻璃股份有限公司,https://www.corning.com/tw/,https://www.facebook.com/CorningTaiwanInnovationandCare,命題說明:,"命題說明:

康寧深耕台灣超過20年，致力於善盡企業社會責任，我們在台中與台南兩座工廠附近的小學，舉辦暑期「康寧歡樂成長營」，為弱勢孩童打造安全又富學習資源的環境；連續12年贊助全國中小學科展，設立「台灣康寧創新獎」，由康寧在台科學家親自審閱作品，鼓勵小小科學家研究的精神；康寧也將創新能量帶入高等教育，舉辦「康寧創星家 – 創新應用競賽」，以基礎材料命題，激發全台大學與研究創新思考和實作應用的熱忱。  康寧相信永續經營的其中一環，就是與社區共榮共好，自2011年開始建立起許多長期的公益活動，同時將資源投入我們所在的社區。期望參賽隊伍能透過創意行銷/活動的方式，將分散在北中南各地的企業社會責任活動做整合包裝，塑造康寧永續及創新的品牌形象。",https://sustainabilityhackathon-tw.org/%e5%95%86%e5%93%81%e8%88%87%e5%93%81%e7%89%8c%e8%a1%8c%e9%8a%b7/
