挑戰標題,企業名稱,企業官網,社群網址,企業介紹,命題說明,挑戰連結
綠色展場設計,台灣康寧顯示玻璃股份有限公司,https://www.corning.com/tw/,https://www.facebook.com/CorningTaiwanInnovationandCare,命題說明:,"命題說明:

近年來ESG（環境、社會和公司治理）已成為全球趨勢，永續發展更是未來全球的重要課題。在疫情期間，受到嚴重衝擊的全球會展產業，疫後再次熱絡，吸引各產業的重要廠商參與會展，尋找更大商機。然而，在台灣會展數十年來，幾乎都是以一次性材料佈展，3至5天的展覽過後立刻拆除，大部分建材都必須丟棄，造成環境嚴重的負擔。

本次我們提出一個概念簡單但極具意義的命題，希望同學透過創新創意的概念打造低碳、低汙染、環境友善的展場攤位，目的是在參展過程展示新產品的同時，也能響應節能減碳與永續經營的環保概念，減少展會裝潢廢棄物對環境造成的影響。 綠色裝潢設計中請至少符合下列其中一項：

👀有利後續回收分解：在裝潢設計中充分將材料的生命終點納入考量，確保展場材料在結束後能有效處理和再利用。👀可取代一次性材料：避免使用一次性材料，並提出永續的替代方案。延長產品生命週期提升產品效率：使裝潢/材料易於維修、再製造和升級的模組化設計，透過👀設計能簡單地僅移除部分零件或是易於拆卸，從而降低在損壞時更換組件的成本和工作量。👀使廢料產生新價值：將廢棄物藉由創新的設計轉換成可用材料，透過功能加值再利用，降低環境衝擊。

重要提醒與注意事項:

- 參賽隊伍可以以(但不限於)2023年Touch Taiwan 康寧攤位為依據與基礎，用文字說明或圖示方式詳述如何打造綠色展覽攤位。

- 參賽隊伍不需著重在攤位的設計美觀，評審重點將以如何運用創新與創意將上述四個建議方向融入攤位設計當中。",https://sustainabilityhackathon-tw.org/2023-corning/
紡織品牌永續形象,sNug給足呵護(斯傑利企業有限公司),https://shop.snug.com.tw/,https://www.facebook.com/supersocks.supersocks/,sNug 的使命就是 【把最卑微的襪子做成榮神益人的精品襪】襪子一直是最不受重視的”配件”！人們精心挑選服飾、内衣、鞋子…但大多數的人並不會太在意襪子的舒適度、功能的差異性！,"命題說明:

斯傑利企業自 2006 年創立以來秉持永續、高品質、耐用、環保、維護生態、回饋社會公益之精神，呵護雙腳，也同時守護地球。嚴選各項原料，確保每一種材質都經過檢測合格、無毒安全，且染整過程符合 OEKO-TEX®標準和認證，17 年來致力於打造一個綠色、環保機能紡織品牌。",https://sustainabilityhackathon-tw.org/2023-snug/
打造精準健康管理平台,康博集團,https://hc.healthchain.com.tw/,,康博集團經營健康產業二十年，投入超過三十億，建構了台灣業界唯一大健康生活圈，包含四個健康品牌「康博診所」、「美加健康醫美診所」、「泰晶殿皇家SPA莊園」、「幸福村居家長照機構」。康博集團，以善念為出發點，追求互利共好的目標，為所有人帶來心靈的富足，這是我們的初衷。我們聆聽你們的需求，注重顧客的整合性體驗，持續不斷的進步，為所有人帶來身體的健康，這是我們的專業。康博集團是提供你多元幸福良方的知已，煥新您的健康，提供您的身心富足，活出美麗人生。,"命題說明:

康博集團深耕台灣超過20年，致力於健康產業，我們認為健康是一切的根本，並秉持預防醫學理念，從源頭上減少疾病發生的可能，透由先天基因檢測了解到自身疾病風險，再加上後天的健康檢查，了解現在的狀況，並且了解客戶的生活習慣後，提供精準健管方案，讓人遠離重大疾病。

預防醫學是所謂的上醫治未病，以現今日新月異的資訊技術在預防醫學領域中，一定可以透由資訊技術的協助，加上智慧化的應用來實現預防醫學，期待參賽團隊提出可提升預防醫學的創新智慧應用，及相關因應的管理方法，來達到讓人遠離重大疾病。



",https://sustainabilityhackathon-tw.org/2023-comepro/
協助二代提升營運績效,精誠資訊,https://tw.systex.com/,https://www.facebook.com/systextaiwan,"精誠資訊是臺灣最大的上市資訊服務企業，擁有 4,300 位員工，2021 年營收為 331 億元。精誠以「成為世界級的軟體公司」為願景、「a Data Software Company」為定位，依照業務屬性分為「VAD、Industry、Mega SI」三大生態圈。","命題說明:



某機械自動化設備製造公司，第一代創始人專注於產品開發與銷售，數十年來累積國內外數百家客戶、數千台設備。第二代準備接班經營，但無法瞭解過往客戶使用機械自動化設備歷程與滿意度，也無法掌握客戶分佈、核心產品與雞肋產品，故無法精準提供研發人員優化與升級產品建議。請規劃一個數位轉型藍圖，包含敏捷式管理、永續經驗傳承、商業模式創新，讓這家企業可以解決目前的痛點，包含：

- 缺工，人員招募不易，老師傅經驗傳承不佳

- 設備售後維修速度慢，服務品質不佳，客訴率高，但因無統計數據，不知如何改善

- 市場、產品銷售進度不易掌握，客戶流失率高，業務離職流動快

*可參考 SASB 準則 ESG 報告書揭露框架五大面向（社會資源、人力資源、商業模式與創新、領導力及公司治理、環境）及 GRI 準則做對應發想討論

**企業補充：希望可以有互相關聯，一次滿足至少2個痛點",https://sustainabilityhackathon-tw.org/2023-systex/
光電地方共生,永鑫能源,https://www.new-greenpower.com/tw,https://www.linkedin.com/company/newgreenpower/,命題說明:,"命題說明:

太陽光電於再生能源產業中扮演著綠色環保、能源安全和區域發展的角色，並可降低對有限資源的依賴，然而仍有許多地區的居民需要更進一步了解這樣的重要性，希望透過這個命題發想，應至少包含下述3點中至少1點但不限於下述的範圍，以完成本次主題的目標：1.社區參與和綠能教育：論述如何建立有效的社區參與機制，並通過綠色能源教育提高居民對太陽能的認識，以實現可持續的發展和獲得支持。2.地方創生和共生發展：深入探討太陽能產業如何與地方創生相結合，包括吸引年輕農/漁業愛好者參與、文化活動和社區參與等，以實現區域發展的共生共榮。且能與社區及地方持續20年以上的合作。3.太陽能安全和維護：如何評估太陽能系統的安全性和維護，並能有效提高當地民眾對太陽能發電技術的認識及信任。",https://sustainabilityhackathon-tw.org/2023-newgreenpower/
翻轉居家服務,智齡科技股份有限公司,https://www.jubo-health.com/,https://www.facebook.com/Jubo.health,"智齡科技於 2018 年成立新創，公司前身為臺灣大學康仕仲教授帶領的臺大研究團隊。智齡科技專注於長照情境的雲端服務與資料科學技術，2018 年底，智齡科技的「Jubo 長照機構數位化解決方案」產品上市，在 2019 年 Jubo 機構數位化方案便成功落地於27 家長期照護機構，紀錄超過3,000 位高齡住民的日常健康資訊。智齡科技目前也同步發展居家照護情境的數位解決方案，並預備將服務推廣至海外市場。Jubo 長照機構數位化解決方案，於 2019 年獲得金漾獎最佳健康照護軟體的殊榮。公司強調企業文化現代開放，重視團隊和自我共同成長。","命題說明:

想把現在在宅銀髮長者所使用的居家服務，因為時間短、項目少的問題，增加一些不同照護進入家裏，讓長者實際在家時真的有被不同照護方式包裹，建構完整全時銀髮照護網。 其服務的範圍不僅止於居護，遠距、居家醫療、長照的其他服務更應廣泛思考如何導入AIOT的各種照護科技來滿足在宅銀髮長者以及照顧者的各種需求，特別是安全、健康、負能方面。而考量扶老比的長期變化趨勢，科技導入勢必為必然的趨勢，希望解決方案能夠提出以永續經營目的的商業模式。",https://sustainabilityhackathon-tw.org/2023-jubo/
中藥廠淨零創新,台灣本草藥物科技股份有限公司,https://service01250.wixsite.com/my-site-1,,命題說明:,"命題說明:

「2050年全球淨零排放目標」是應對氣候變遷所需的重要措施，同時也是協助中藥廠建立永續綠色品牌形象的關鍵一環。近年來，ESG（環境、社會、公司治理）議題已經成為未來趨勢，企業積極參與，以提升其淨零排放貢獻度，並建立永續發展的企業形象。面對這一挑戰，我們期待參賽團隊提出具體改善建議，關注以下兩個關鍵領域：

I. 如何降低中藥廠的碳排放、能源（電能、熱能）和水資源消耗？

II. 如何創造循環經濟、淨零排放等商業服務模式",https://sustainabilityhackathon-tw.org/2023-taiwanherb/
智慧共生,伯拉罕共生照顧勞動合作社,http://plahan.com.tw/,https://www.facebook.com/plahantaiwan?ref=embed_page,命題說明:,"命題說明:

現況的重大性問題：臺灣快速高齡化，社區互助與照顧發展仍相當斷裂。

面對臺灣快速的高齡化，共生社區的議題這幾年在臺灣相當受重視。但不論在都市及鄉村，高齡長者從健康、亞健康到失能的共生互助及照顧，仍相當斷裂。臺灣目前社區自助、互助、共助各有長年有目共睹的成效，如社區照顧關懷據點、社區營造，但多元的整合度薄弱，長期不易突破。期待的智慧科技發展，目前只重於行政管理，如長照2.0的推動，已快速普及數位化，但主要在打卡申報費用，而非運用在促進長照服務優質發展，智慧科技應有效提升至健康促進之運用及跨專業整合服務數位發展才能真實協助社區發展。智能科技應是成為虛擬/實體社區串接、交互成長的重要媒界，才能讓智慧科技成為凝聚共生社區的催化劑，有效提升跨地域、跨世代連結，建置自助、互助、共助三助的智能融合體系。

脈絡與熱點：智慧科技溶入實體社區，探索跨專業、跨世代的社會解方。

智慧共生社區推動計畫從背景理論架構進行系統平台解決方案運作機制的規劃與執行設計，分別為「線上—智慧科技導入、線下—共生社區培力」，線上工作與線下工作環環相扣。為發展社區場域服務模型，開發可複製可擴散、具規模放大潛力，滿足多元服務或提升照顧效率的系統平台解決方案—智慧共生「GoGo社區」平台。藉由適用性科技的數位導入，優化社區功能運作、人員管理及服務提供。

期望透過「溶入智慧科技」，促進虛擬/實體社區串接、老中青世代多元連結與關係深耕，有效提升跨地域、跨專業、跨需求效益，同時探討多元共生社區發展模式，藉此探索跨界、跨世代融和的社會解方。

目標：智慧共生「GoGo社區」平台導入社區測試，並探索適用之推廣方案、社區方案。 智慧科技進入社區有許多挑戰，尤其是中高齡者為主的社區照顧關懷據點、社區交流協會……等等，希望藉由本專案計畫，透過進入社區，提升學生對高齡、社區議題的興趣。並透過自身數位能力與相關專業，帶領中高齡居民以及社區在地居民使用智慧共生「GoGo社區」平台，除記錄社區使用經驗外，同時探索平台至社區的適用推廣方案、社區教學方案。",https://sustainabilityhackathon-tw.org/2023-plahan/
企業人才永續策略,信義房屋,https://www.sinyi.com.tw/,https://www.facebook.com/sinyifans/,命題說明:,"命題說明:

疫情過後，勞動力和人才短缺的問題使全球步入了一個大缺工時代。同時，隨着ESG和DEI浪潮的興起，全球企業對於永續人才經營議題的重視逐漸加深。在缺工的壓力下，加上少子化和疫情對工作模式的影響，企業現在面臨著如何保留人才、吸引新人才、並培育人才的重大課題。 在這樣的背景下，本次命題提出了一個重要議題，即以台灣房仲業務的工作型態為研究範圍，來探討當前的狀況。並且，也呼籲學生們集思廣益，提出針對該領域的人才永續經營策略，以因應這些挑戰。",https://sustainabilityhackathon-tw.org/2023-sinyi/
智慧創新生態永續,潤盟國際有限公司,,,潤盟國際有限公司創立於1997年九月，主要提供＜創新品牌行銷＞與＜組織文化改造＞的顧問服務。,"命題說明:



SDGs 15 是聯合國可持續發展目標（SDGs）中的一個議題，它關注的是「陸地生態系統的保護、恢復和促進可持續使用，並且推動可持續林業，防治沙漠化，停止和逆轉土地退化，並停止失去生物多樣性」。

因此該一目標的達成對於確保地球上的生態系統的健康、確保生物多樣性和維護生態平衡至關重要。這不僅關係到自然環境的可持續性，也對人類的生計、食品安全和氣候變化適應具有關鍵性影響。

持續的土地退化、生物多樣性損失、森林減少和草地退化等陸域生態議題是聯合國可持續發展目標（SDGs）中的第15項目標。這一目標旨在保護、恢復和促進可持續利用陸地、管理森林、對抗沙漠化、防止和減少土地退化、減少生物多樣性損失。

命題目標：

- 有機廢棄物的資源循環—推動校園生廚餘、落葉及雜草混合堆肥，達到提升資源循環、促進有機物消費者與分解者多樣性，達到減少土壤退化。希望解方：透過經營管理(商業模式)以達成相關目標。

- 校園危木管理及植栽規畫。希望解方：以工程技術與自然為本的精神，透過智慧創新的方式達到目標。

- 『原生動植物的復育』、『校園淼林補植及更新』、『永續校園環境之經營管理』，以上三個主題希望解方：以自然為本精神配合著經營管理(商業模式)來讓校園、產業共好的模式。",https://sustainabilityhackathon-tw.org/2023-eht/
